,Unnamed: 0.1,Unnamed: 0,decision,titleabstract
206,355,355,Included,"The effect age latency radiation myelopathy. The latent period forelimb paresis following photon irradiation cervical spinal cord evaluated Sprague-Dawley rats ranging age  days adulthood. The radiation administered dorsally single fractions, -day-old animals, different lengths rostral cord doses ranging   Gy. The duration latent period found directly proportional age animal time irradiation, independent radiation dose volume cervical cord irradiated. In majority paretic animals, irradiated segment spinal cord demonstrated white matter necrosis. The indicate developing rat, manifestations radiation myelopathy delayed interval determined part age animal time irradiation."
207,2246,2246,Excluded,"Multiple meningiomas induced cranial irradiation. The role radiation induction central nervous system tumours repeatedly documented. Meningiomas induced low doses cranial irradiation described many series cases, meningiomas induced high doses irradiation still reported limited number cases. We report case -year-old man presented multiple meningiomas received therapeutic dose irradiation th ventricle ependymoma  years old."
210,3090,3090,Excluded,"Optimization stereotactic radiotherapy treatment delivery technique base-of-skull meningiomas. This study compares static conformal field (CF), intensity modulated radiotherapy (IMRT), dynamic arcs (DA) stereotactic radiotherapy base-of-skull meningiomas. Twenty-one cases base-of-skull meningioma (median planning target volume [PTV] = . cm) previously treated stereotactic radiotherapy replanned technique. The plans compared Radiation Therapy Oncology Group conformity index (CI) homogeneity index (HI), doses normal structures  dose values . Gy . Gy. The mean CI . (CF), . (DA), . (IMRT) (p < . comparing IMRT either CF DA plans). The CI (IMRT) inversely proportional size PTV (Spearman's rho = -., p = .) PTV sizes  cm, CI (IMRT) always superior CI (DA) CI (CF). At PTV sizes  cm, significant difference CI technique. There significant difference HI plans. The total volume normal tissue receiving ., ., . Gy significantly lower comparing IMRT CF DA plans (p < .). There significantly improved dose sparing brain stem ipsilateral temporal lobe IMRT significant difference optic chiasm pituitary gland. These demonstrate stereotactic IMRT considered treat base-of-skull meningiomas PTV larger  cm, due improved conformity normal tissue sparing, particular brain stem ipsilateral temporal lobe."
213,1298,1298,Excluded,"The relationship mood symptoms neuropsychological function breast cancer survivors. Objective: Breast cancer survivors show neuropsychological deficits domains language memory suspected result harmful effects cancer treatments. Mood symptoms may exacerbate problems, however, little known exact relationship variables. Participants Methods: We examined group  breast cancer survivors, mean age . years, received diagnoses breast cancer - years prior (mean . years). Participants completed battery neuropsychological tests assessed intellectual function, executive function, memory, several self-report questionnaires assessed mood, fatigue, quality life. Result(s): Pearson analyses demonstrated significant negative correlations scores Beck Depression Inventory-II (BDI-II; Beck, Steer & Brown, ) Full Scale IQ,VerbalComprehension Index, Processing Speed Index scores theWechsler Adult Intelligence Scale-III(Wechsler, ). BDI-II scores also showed significant negative correlations executive function, memory. Analysis variance showed breast cancer survivors treated chemotherapy reported symptoms depression individuals treated chemotherapy, F = ., p = .. A similar pattern found individuals treated radiation. Patients' history chemotherapy radiation treatment show relationship subsequent neuropsychological function. Conclusion(s): Results suggest elevated mood symptoms may related problems domains neuropsychological performance breast cancer survivors. Individuals received chemotherapy appeared likely experience subsequent mood problems. Further investigation needed determine mood changes may increase susceptibility cognitive deficits experienced breast cancer survivors. Acknowledgement: Study funded Susan G. Komen Cure."
216,2808,2808,Excluded,"Pulsed-wave low-dose ultrasound hyperthermia selectively enhances nanodrug delivery improves antitumor efficacy brain metastasis breast cancer. The clinical application chemotherapeutics brain tumors remains challenge due limitation blood-brain barrier/blood-tumor barrier (BBB/BTB). In study, investigated effects low-dose focused ultrasound hyperthermia (UH) delivery therapeutic efficacy pegylated liposomal doxorubicin (PLD) brain metastasis breast cancer. Murine breast cancer cells (T-luc) expressing firefly luciferase implanted mouse striatum brain tumor model. The mice intravenously injected PLD with/without transcranial pulsed-wave/continuous-wave UH (pUH/cUH) treatment day- tumor implantation. pUH (frequency:  kHz, PRF:  Hz, duty cycle: %) conducted equal acoustic power (.-Watt) sonication duration (-min) cUH. The amounts doxorubicin accumulated normal brain tumor tissues measured fluorometry. The tumor growth responses control, pUH, PLD, PLD + cUH, PLD + pUH groups evaluated IVIS. The PLD distribution cell apoptosis assessed immunofluorescence staining. The showed pUH significantly enhanced PLD delivery brain tumors tumor growth inhibited PLD + pUH without damaging sonicated normal brain tissues. This indicates low-dose transcranial pUH promising method selectively enhance nanodrug delivery improve brain tumor treatment. Copyright ©  Elsevier B.V."
218,2670,2670,Included,"S-Nitrosylation Organs Mice Exposed Low High Doses gamma-Rays: The Modulating Effect Iodine Contrast Agent Low Radiation Dose. The covalent addition nitric oxide (NO<sup>*</sup>) onto cysteine thiols, S-nitrosylation, modulates activity key signaling proteins. The dysregulation normal S-nitrosylation contributes degenerative conditions cancer. To gain insight biochemical changes induced low-dose ionizing radiation, determined global S-nitrosylation [']biotin switch['] assay coupled mass spectrometry analyses organs CBL/J mice exposed acute . Gy <sup></sup>Cs gamma-rays. The dose radiation delivered whole body presence absence iopamidol, iodinated contrast agent used radiological examinations. To investigate whether similar distinct nitrosylation patterns induced following high-dose irradiation, mice exposed parallel acute  Gy <sup></sup>Cs gamma rays. Analysis modulated S-nitrosothiols (SNO-proteins) freshly-harvested organs animals sacrificed  days irradiation revealed radiation dose- contrast agent-dependent changes. The major follows: (i) iopamidol alone significant effects S-nitrosylation brain, lung liver; (ii) relative control, exposure . Gy without iopamidol resulted statistically-significant SNO changes proteins differ molecular weight liver, lung, brain blood plasma; (iii) iopamidol enhanced decrease S-nitrosylation induced . Gy brain; (iv) whereas decrease S-nitrosylation occurred . Gy proteins ~ kDa brain proteins ~ kDa liver, increase detected  Gy organs; (v) mass spectrometry analyses nitrosylated proteins brain revealed differential modulation SNO proteins (e.g., sodium/potassium-transporting ATPase subunit beta-; beta tubulins; ADP-ribosylation factor ) low- high-dose irradiation; (vi) ingenuity pathway analysis identified major signaling networks modulated, particular neuronal nitric oxide synthase signaling pathway differentially modulated low- high-dose gamma-irradiation."
219,2218,2218,Excluded,"Survival Patterns  Stereotactic Radiosurgery-Treated Patients Brain Metastasis Function Number Lesions. BACKGROUND: The number brain metastases (BMs) plays important role decision stereotactic radiosurgery (SRS) whole-brain radiation therapy. METHODS: We analyzed survival  SRS-treated patients BM function BM number. Survival analyses performed Kaplan-Meier analysis well univariate multivariate Cox proportional hazards models. RESULTS: Patients BMs first categorized , -, - BMs based scheme proposed Yamamoto et al. (Lancet Oncology ). Median overall survival patients  BM superior - BMs (. months vs. . months, P = .), survival patients - BMs differ - BMs (. months vs. . months, P = .). The median survival patients > BMs lower - BMs (. months vs. . months, P = .). In multivariate model accounted age, Karnofsky Performance Score, systemic disease status, tumor histology, cumulative intracranial tumor volume, observed ~% increase hazard death comparing patients  versus - BMs (P < .)  versus > BMs (P < .). When BM number modeled continuous variable rather using classification Yamamoto et al., observed step-wise % increase hazard death every increment - BM (P < .). CONCLUSIONS: The contribution BM number overall survival modest considered one many variables considered decision SRS whole-brain radiation therapy."
222,3354,3354,Included,"Mortality among pilots cabin crew Greece, -. Background. Specific health hazards, among radiation cosmic origin, caused concern among aircrew civil aviation recent years. Several cohort studies Northern countries investigated mortality cancer incidence among aircrew. Our goal study pattern mortality among Greek commercial airline cockpit cabin crew. Methods. We performed retrospective cohort study including  Olympic Airways cockpit crew  cabin attendants. Standardized mortality ratios (SMR) calculated based death rates Greek population. Duration employment proxy occupational exposure used stratify cohort. Results. For cockpit crew, overall SMR . (n = , % CI: .-.). The SMR cancers also significantly decreased (n = ; SMR = .; % CI: .-.). Most reduction due large deficit lung cancer deaths (SMR = .; % CI: .-.). Slight non-significant increases noted brain liver cancer. The SMR cardiovascular death close unity. Among female cabin attendants SMR causes . (% CI: .-.). The SMR cancers . (% CI: .-.). Mortality breast cancer increased. Among male cabin crew, SMR causes . (% CI: .-.). Analyses according duration employment showed pattern. Conclusions. In first-ever occupational cohort study Greece, Greek aircrew low overall cancer mortality. Due small number events, strength study limited. The Greek data included pooled analysis European studies."
225,1996,1996,Excluded,"Effects ELF-EMF brain proteins mice. Effect electromagnetic low frequency fields studied mice. We analyzed level protein brain mouse. The levels c-Jun c-Fos brains measured using Western-blot techniques. Female male laboratory mice exposed  days magnetic field (Bm =  mT, f =  Hz). The exposure took place cylindrical coil laboratory temperature. After experiment sacrificed level protein c-Jun c-Fos different parts brain estimated. The expression c-Fos affected magnetic field hand expression c-Jun decreased magnetic field exposure. The depend sex mice."
228,1487,1487,Excluded,"The effects vestibular stimuli brain cognitive processing: An ERP study. Cognition impairment caused space motion sickness often risk spaceflight. So dynamic changes pattern brain cognitive processing varied vestibular stimuli explored using event-related potentials. Vestibular stimulation produced rotary chair varied linearly, i.e. control, constant degree/s rotation constant .degree/s<sup></sup>, .degree/s<sup></sup>, .degree/s<sup></sup>, .degree/s<sup></sup> acceleration. Thirty-three subjects participated study performed auditory selective attention task odd numbers randomly mixed series odd even numbers (go/no-go) presented acoustically Chinese pronunciation assigned target signal rotation stimuli. The showed P latency induced target signal NIP, PN NP peak-to-peak amplitudes decreased significantly constant degree/s rotation contrast control constant angular acceleration. The P latency induced target signal shorter constant .degree/s <sup></sup> .degree/s<sup></sup> acceleration rotations constant .degree/s<sup></sup> .degree/s<sup></sup> acceleration rotations. It suggested constant angular velocity rotation promotion effect brain cognitive processing. The constant angular acceleration inhibited cognitive processing action least two different levels. ©  Lippincott Williams & Wilkins."
231,4762,534,Excluded,"Neurons responding whole-body motion primate hippocampus We describe hippocampal cells respond whole-body motion monkey moved remote-controlled robot-mounted platform cue-controlled test chamber ( x  x  m). Some cells responded linear motion, others axial rotation. Some cells responded motion occurred without view visual field. Such cells appeared driven vestibular inputs. Other cells required view visual field response, cells appeared driven visual motion relative monkey test chamber. Further evidence case cells responded rotation linear motion test chamber monkey remained stationary. Other cells responded combinations whole-body motion view environment. These findings show information whole- body motion, well animal looking environment, represented primate hippocampus. We suggest information important spatial memory thus spatial navigation."
233,607,607,Included,"Alteration Interneuron Immunoreactivity Autophagic Activity Rat Hippocampus Single High-Dose Whole-Brain Irradiation. The effects high dose gamma radiation brain tissue poorly understood, limited major changes reported. The present study compared effects gamma irradiation expression interneuron markers within hippocampal cornu ammonis  (CA) region expression control matched rats. This area chosen study well-characterized circuitry. Male Sprague-Dawley rats exposed  Gy whole brain gamma radiation   hours, brains removed, fixed sectioned quantitate expression parvalbumin (PV), calbindin-DK (CB), reelin, neuropeptide-Y (NPY), somatostatin. All markers increased expression first  hours, except NPY, decreased. This provides novel information changes gene expression hippocampal interneurons following radiation. Staining Beclin , marker autophagy, increased strongly subgranular zone (SGZ) dentate gyrus (DG). Overall, consistent hypothesis increased intracellular calcium follows irradiation, leading increased expression calcium binding proteins. Increased autophagy occurs neurogenic zone dentate hilus, consistent reduced effective neurogenesis irradiation."
234,657,657,Excluded,"Signaling apoptosis hepatocytes hepatic stellate cells. [Japanese]. Tumor necrosis (TNF) key mediator many acute injuries liver, including alcoholic liver injury, viral hepatitis ischemia reperfusion injury. Ischemia reperfusion (I/R) injury important clinical problem several organs including brain, heart, kidney, liver. Hepatic I/R injuries occur transplantation, liver resection tumor, circulatory shock. Possible consequences hepatic I/R injury include liver failure and/or multi-organ system failures, resulting morbidity mortality. Hepatic I/R injury produces two types cell death, apoptosis necrosis hepatocytes non parenchymal cells. Several intracellular signaling molecules activated I/R including NFkB c-Jun N terminal kinase, (JNK). JNK phosphorylated activated several types stresses, including stimulation cytokines, TNFalpha IL-, environmental stresses radiation oxidant stress. Substrates JNK include transcription factors c-Jun ATF-. Recent studies proposed activated JNK may also directly affect mitochondria undefined substrates leading apoptosis. JNK strongly induced warm hepatic I/R injury cold ischemial warm repetition injury liver transplantation. Using selective JNK inhibitors, demonstrated JNK blockade suppresses liver injury rat model hepatic warm I/R hepatic cold ischemia/warm reperfusion. These animal studies directly demonstrating JNK plays harmful role liver I/R injury."
237,641,641,Excluded,"More movement evaluating colonic transit humans. BACKGROUND: Colonic functions (ie, absorption fluids electrolytes, digestion selected nutrients, harbor microbes, elimination excreta) necessitate complex patterns storage transit. Indeed, colonic transit accounts major part mouth-to-anus transit time. Colonic transit assessments useful understanding pathophysiology disease, pharmacodynamic effects new medications diagnose slow transit constipation. Currently, radiopaque markers, scintigraphy, colonic pH-pressure capsule used measure overall colonic transit. Radioopaque markers, scintigraphy, electromagnetic capsule, newer technique, also evaluate regional colonic transit. The pH-pressure capsule also colonic pressures. Magnetic resonance imaging radio-frequency identification-based device evolving assessing colonic transit. PURPOSE: This mini-review, accompanies study evaluating assessment colon transit electromagnetic capsule, evaluates compares existing evolving evaluating colonic transit humans (Neurogastroenterol Motil. ; press). In addition overall regional colonic transit, electromagnetic capsule evaluates colonic motor patterns without radiation exposure. These patterns summarized analyzing characteristics (ie, distance velocity) discrete antegrade retrograde capsule movements travel colon. However, electromagnetic capsule measure pressure colonic wall movement (ie, contractions). The motor patterns identified capsule compared motor patterns identified manometry. The next challenge harness different techniques evaluate relationships colonic pressures transit or, even better, trifecta colonic contractions, pressure events, transit."
240,4898,670,Excluded,"MRI-diagnosis craniobasal CSF-fistulas D-CISS-sequence. [German] Recently, Magnetic Resonance Imaging (MRI)-technique developed diagnose exact anatomical location fistulas cerebrospinal fluid (CSF). This method called D-constructive interference steady state-sequence (CISS) well known clinical practice. Aim study evaluation specificity sensitivity CISS-MRI.  patients rhinoliquorrhea head injury (n=) skull base tumours (n=) examined CISS-MRI. The examinations performed . T whole body MRI scanner prone position coronal plane sections. In cases CSF leckage sensitivity detection CSF fistula %. In comparison intraoperative findings, specificity %: cases, dural lesion anatomical correlation MRI detected. Further advantages method non-invasive character, need contrast application, radiation exposure, exact localisation additional anatomical findings (brain herniation, brain contusions)."
243,3778,3778,Excluded,"The effect iris-fixated foldable phakic intraocular lenses retinal straylight. PURPOSE: To determine changes straylight iris-fixated phakic intraocular lens implantation (pIOL) investigate relationship straylight several preoperative postoperative variables. DESIGN: Institutional, prospective cross-sectional study. METHODS: Artiflex (Ophtec B.V.) pIOL implantation performed  eyes ( patients). Straylight values measured surgery  months surgery using Oculus C-Quant (Oculus Optikgerate). Furthermore, correlations analyzed straylight following parameters: keratometry, axial length, spherical equivalent, astigmatism, pIOL power, best spectacle-corrected visual acuity, pupil size. RESULTS: Mean straylight decreased . +/- . log units surgery . +/- . surgery (P = .). Higher preoperative straylight values associated larger postoperative decreases straylight (r = -.; P < .). Higher postoperative straylight values correlated higher axial length (r = .; P = .) lower keratometry values diopters (r = -.; P = .). After regression analysis, axial length found independent predictor preoperative postoperative straylight (P < . P = ., respectively). After correcting axial length emmetropic eye (. mm), straylight correlations disappeared, indicating increase distance cornea retina explains increase straylight values longer eyes. CONCLUSIONS: Retinal straylight reduced significantly Artiflex pIOL implantation. Besides age, axial length predictor preoperative postoperative straylight values. The increased tissue length light pass cornea retina, might explain increase straylight values longer eyes."
244,2282,2282,Included,"Prevalence glioblastoma multiforme subjects prior therapeutic radiation. This retrospective study profiled subjects glioblastoma multiforme (GBM) previously received therapeutic radiation. A chart review conducted  adult patients diagnosed GBM referred major medical center southwestern United States. Seventeen patients received previous radiation therapy average dose . Grey (Gy) average latency period  years initial therapy GBM diagnosis. Of , four white females fit four attribution criteria radiation-induced GBM. Two treated radiation prolactinomas, one pinealoma one squamous cell cancer ethmoid sinus. The addition four case studies previously published descriptions  cases gliomas,  GBM, subsequent radiation therapy provides additional support considering therapeutic radiation risk factor GBM development."
246,4630,402,Excluded,"Differential effects various vasoactive drugs basal stimulated levels TXB -keto-PGF alpha rat brain Thromboxane B -keto-PGF alpha (KPGF alpha), major stable metabolites thromboxane prostacyclin, present CNS, appear mainly produced within and/or acting upon vascular district. Their concentrations pg/mg protein rat brain cortex animals sacrificed microwave (MW) radiation, procedure inactivates tissue enzymes allows determination endogenous basal"" levels eicosanoids. Levels KPGF alpha especially TxB increase several fold basal values brain cortex animals sacrificed decapitation followed minute interval analysis (post-decapitation ischemia, PDI). Pretreatment animals vasoactive drug papaverine, resulted elevation brain basal levels KPGF alpha carbochromene derivative AD reduction basal levels TxB, whereas calcium antagonist nifedipine dipyridamole modify basal levels two eicosanoids. Treatments papaverine AD reduced accumulation TxB enhanced KPGF alpha occurring PDI, different extents, resulting, however, reduction TxB/KPGF alpha ratio. Nifedipine instead, decreased release eicosanoids resulted elevation TxB/KPGF alpha ratio, whereas dipyridamole effect. In conclusion, evaluation overall effects drug treatments TxB/KPGF alpha ratio cerebral tissue, provided useful informations pharmacological modulation vascular eicosanoids district."""
249,4984,756,Excluded,"Guided imagery, anxiety, heart rate, heart rate variability centrifuge training BACKGROUND: Centrifuge training important method improving hypergravity tolerance pilots, cosmonauts, Chinese astronauts. However, concomitants tension anxiety often impede training. Guided imagery (GI), mind-body relaxation technique, provides behavioral cognitive means whereby individuals able exert control focus attention. This study aims investigate immediate effects GI reducing stress centrifuge training. METHODS: There  healthy young men randomly assigned GI group music group. We measured changes heart rate centrifuge training, heart rate variability centrifuge training, also evaluated relaxation anxiety three phases: intervention, intervention, following centrifuge training. RESULTS: The change pattern anxiety different two groups three phases. Anxiety (measured State Anxiety Inventory) GI group changed . +/- . . +/- . . +/- ., whereas music group changed . +/- . . +/- . . +/- .. During centrifuge training, maximal HR GI group (. +/- .) lower music group (. +/- .). In addition GI showed decrease low frequency (LF, .-. Hz) components increase high frequency (HF, .-. Hz) components centrifuge training. CONCLUSION: GI capable decreasing tension, anxiety, sympathetic nervous system activity pre- post-centrifugation."
251,1585,1585,Included,"Omega- effects electrocorticographic patterns adult Wistar rats exposed ionizing radiation. This study aimed assess effect supplementation omega- Wistar rats exposed ionizing radiation dose  Gy cortical electrical activity, using mathematical power spectrum (PS) detrended fluctuation analysis (DFA) evaluation electrocorticogram (ECoG) record. The PS analysis showed non-irradiated animals supplemented omega- decrease power beta rhythm, DFA applied different frequency ranges ECoG showed significant increase long-range correlation theta wave compared non-supplemented animals. In evaluation radiation effect PS, increase power theta rhythm observed groups (non-supplemented supplemented animals) evaluated one week irradiation. The DFA method also showed difference wave. The PS DFA applied ECoG record allowed quantitative analysis cortical electrical activity rats response omega- effects, ionizing radiation, both."
252,3728,3728,Excluded,"Advances radionuclide imaging: Radionuclide imaging guide therapy. Imaging contributes radionuclide therapy for: * Benign thyroid disease * Assessing monitoring thyroid cancer * Managing neuroendocrine tumours (pheochromocytoma, neuroblastoma, carcinoid, medullary thyroid cancer paraganglioma) * Bone palliation therapy. ©  The British Institute Radiology."
255,3115,3115,Excluded,"[Radiation burden high-resolution computerized tomography petrous bone]. Exposure irradiation radiation stress eye lens, thyroid skin high resolution computed tomography petrous bone demonstrated means conducted authors, compared published date. The radiation stress less doses measured conventional polytomography petrous bone. The exposure crystalline lens, particular, depends decisively angle gantry position CT performed. The coronary plane projection choice respect minimum irradiation exposure. The somatic dose index higher conventional x-ray examinations skull, lower cranial CT CT examinations."
258,2954,2954,Included,"Late effects whole-body irradiation intraneuronal metabolism dopamine serotonin. [French]. Whole-body irradiation leads delayed cognitive dysfunction could result perturbations neurotransmission, specially dopaminergic serotoninergic one. The aim study determine concentrations dopamine (DA), serotonin (-HT) metabolites three cerebral areas rats, one month (neutron-gamma) irradiation , Gy. An increase DA, -HT, catabolites observed. These effects weak observed older rats."
261,1034,1034,Excluded,"Functional structural recovery injured spinal cord following delayed X-irradiation rats. OBJECTIVE: To test hypothesis delayed X-irradiation enhance functional structural recovery injured spinal cord rats. METHODS: Seventy Sprague-Dawley rats randomly divided two groups,  rats each. The control group sustained one-minute clip compression (force clip  g) injury spinal cord T level, without X-irradiation. The experimental group received X-irradiation  days injury. Neurological function assessed modified Tarlov method, including hind limbs movement, inclined plane, pain withdrawal. These tests performed blinded fashion , , , , , ,  days injury. At  days injury, histological examination injured spinal cord performed following decapitation rats. RESULTS: Sixty-two rats met experimental requirements (spinal cord injury similar),  rats experimental group  rats control group. Statistically significant difference observed two groups hind limbs movement inclined plane (P < .), pain withdrawal test. The edema necrosis areas injured spinal cords experimental group less control group, axons experimental group significantly control group (P < .). CONCLUSION: Delayed X-irradiation following spinal cord injury may enhance functional recovery improving restoring structural integrity injured spinal cord rats."
264,4864,636,Excluded,"Impaired single cell firing long-term potentiation parallels memory impairment following recurrent seizures Patients epilepsy substantial risk memory impairment. Animal studies paralleled clinical observations, demonstrating impaired hippocampal function measured spatial memory rodents subjected seizures. However, mechanism seizure-induced hippocampal impairment unclear. Here investigated effects recurrent seizures water-maze performance, behavioural measure learning memory, long-term potentiation (LTP; considered test synaptic plasticity memory) place-cell firing patterns, single-cell indicator spatial memory. LTP CA place-cell activity examined separate groups freely moving rats,  flurothyl-induced seizures. Water maze performance examined third group rats, five previously induced seizures five controls. Recurrent flurothyl seizures associated marked impairment LTP reduction frequency peak theta power. Compared baseline recordings, place-cell firing patterns following recurrent seizures significantly less precise, lower firing rates less stable. Impaired place-cell firing seen early two seizures persisted least  h last seizure. Water-maze performance also significantly impaired animals underwent recurrent seizures. No cell loss synaptic reorganization observed hippocampus several cortical areas vulnerable seizures. These demonstrate relatively brief excitatory events, producing visible cell damage, nevertheless cause long-lasting changes hippocampal physiology, observable impairments place-cell function, LTP spatial memory."
266,1560,1560,Included,"Spatial Memory Performance Socially Mature Wistar Rats Impaired Exposure Low ( cGy) Doses  GeV/n <sup></sup>Ti Particles. Prolonged deep space missions planets asteroids expose astronauts galactic cosmic radiation (GCR), mixture low-LET ionizing radiations, high-energy protons high-Z energy (HZE) particles. Ground-based experiments used determine whether radiation environment effect long-term health astronauts ability complete various tasks mission. Emerging data suggest mission-relevant HZE doses impair several hippocampus-dependent neurocognitive processes rodents, substantial interindividual variation severity neurocognitive impairment, ranging observable effects severe impairment. While majority studies established effect abundant HZE species (<sup></sup>Fe) neurocognition, studies suggest lighter <sup></sup>Ti HZE particles may equally, more, potent impairing neurocognition. In study, assessed effect exposure - cGy  GeV/n <sup></sup>Ti spatial memory performance socially mature male Wistar rats. Acute exposures mission-relevant doses (<= cGy)  GeV/n <sup></sup>Ti significantly (P < .) reduced mean spatial memory performance rats three months exposure, significantly (P < .) increased percentage rats severe (Z score >= ) impairment, i.e., poor performers. Collectively, data support notion LET dependency neurocognitive impairment may differ cell killing."
267,2285,2285,Excluded,"Mobile Lower Body Negative Pressure Suit Integrative Countermeasure Spaceflight. BACKGROUND: Persistent headward fluid shift mechanical unloading cause neuro-ocular, cardiovascular, musculoskeletal deconditioning long-term spaceflight. Lower body negative pressure (LBNP) reintroduces footward fluid shift mechanical loading. METHOD(S): We designed, built, tested wearable, mobile, flexible LBNP device (GravitySuit) consisting pressurized trousers built-in shoes support ground reaction forces (GRF) thoracic vest distribute load entire axial length body. In eight healthy subjects recorded GRF feet shoulders (Tekscan) assessing cardiovascular response (Nexfin) footward fluid shift internal jugular venous cross-sectional area (IJVa) using ultrasound (Terason). RESULT(S): Relative normal bodyweight (BW) standing upright, increments  mmHg LBNP   mmHg supine induced axial loading corresponding %,  +/- %,  +/- %,  +/- %,  +/- % BW, respectively. Furthermore, LBNP reduced IJVa . +/- . cm . +/- ., . +/- ., . +/- ., . +/- . cm, respectively. LBNP   mmHg reduced cardiac stroke volume increased heart rate cardiac output mean arterial pressure unaffected. During  h supine rest  mmHg LBNP, temperature humidity inside suit unchanged ( +/- degreeC;  +/- %, respectively).DISCUSSION: The flexible GravitySuit  mmHg LBNP comfortably induced mechanical loading desired fluid displacement maintaining mobility hips knee joints. The GravitySuit may provide feasible method apply low-level, long-term LBNP without interfering daily activity spaceflight provide integrative countermeasure.Petersen LG, Hargens A, Bird EM, Ashari N, Saalfeld J, Petersen JCG. Mobile lower body negative pressure suit integrative countermeasure spaceflight. Aerosp Med Hum Perform. ; ():-."
270,2313,2313,Included,"The effect single whole-body irradiation lethal dose catecholamine levels pineal glands rats. Male Wistar rats adapted light-dark cycle (LD) : h exposed darkness lethal single dose . Gy gamma-rays whole body. Irradiation, sham-irradiation decapitation , ,  min exposure, performed  h  h darkness. The changes concentrations catecholamines (CA) determined radioenzymatic method pineal gland rats. Results evaluated comparison sham-irradiated (, ,  min) control groups rats. From follows concentration dopamine (DA) norepinephrine (NE) rat pineal gland significantly decreased   minutes irradiation (p < .). At min  postirradiation period possible observe tendency recovery levels DA NE control values. Epinephrine (EPI) exhibited significant (p < .) decrease min   postirradiation (by .% .%, respectively)."
272,392,392,Included,"Expression aquaporin- protein rats acute radiation-induced cerebral edema. [Chinese]. Objective To explore relation changes expression aquaporin- (AQP) protein acute radiation-induced cerebral edema Gamma knife radiation. Methods The experimental model established rats radiating  mm right median line cerebral hemisphere  Gy Gamma knife(the center located line auditory canal). The changes brain water content measured wet dry weight method. Immunohistochemistry used determine change expression AQP protein different periods Gamma knife radiation. Results The brain water content expression AQP target area peripheral zone obviously increased  h Gamma knife radiation, achieved peak  d. It still higher normal  d. The gray value expression aquaporin - negatively related brain water content (r = -., P < .). Conclusion AQP close relationship acute radiation-induced cerebral edema."
273,1715,1715,Excluded,"Ataxia-telangiectasia (or Louis-Bar Syndrome) molecular epigenetic point view. Ataxia-telangiectasia (AT) hard hereditary neurodegenerative syndrome, characterized strongly enhanced sensitivity ionizing radiation, genetic instability high risk tumor progeria features. Previously, shown cells patients AT simultaneously two oppositely-directed development programs proceeding: accelerated aging rise classical markers aging number, SA-beta-ga, SAHF, HP-gamma, gamma-HAX, BP; transformation sharp decline effectiveness DNA repair processes high level chromosomal rearrangements.<sup>,,</sup> The cause disease mutation protein kinase ATM localized chromosome  (q.).<sup></sup> Up  mutations (on locations severity disease dependent) resulting development AT gene described.<sup></sup> Basing dynamics process repair gamma irradiation determine presence AT syndrome, heterozygous. The appearance p Wafl/Cip - inhibitor cyclin-dependent kinases significantly delayed response DNA damage.<sup></sup> AT also accompanied epigenetic changes, first all, violation phosphorylation histone H lysine  (H-K). Threemethylated form (Me-H-K) cells different patients varies, serve prognostic marker disease.<sup></sup> For AT diagnosis hard cases, developed rapid test includes two parameters: length telomeres primary fibroblasts indirect immunofluorescence using antibodies phosphorylated form ATM, appears cells healthy individuals response double-strand DNA breaks."
276,1184,1184,Excluded,"A phase I study etanidazole radiotherapy malignant glioma. Purpose: To determine maximum tolerable total dose (MTD) etanidazole (ETA) administered external beam radiotherapy (XRT) continuous infusion stereotactic brachytherapy patients malignant glioma (anaplastic astrocytoma glioblastoma multiforme mixed cell tumors). Methods Materials: Seventy previously untreated patients entered Phase I study. Prior initiation treatment, patients stratified according whether candidates interstitial implantation. The implant patients (IMP, n =  pt) received accelerated fractionation XRT  Gy BID ( h apart)  Gy  weeks ETA  gm/m<sup></sup> x  doses,  week break interstitial implant  Gy (- days) continuous infusion ETA - h. The two sequentially conducted nonimplant arms started accelerated fractionation XRT  Gy BID ( h apart)  Gy  weeks ETA  gm/m<sup></sup> x - doses/week. NonIMP  arm (n = ) received -week break standard fractionated boost XRT  Gy/day  weeks total dose  Gy ETA. NonIMP  arm (n = ) -week break. All patients plasma pharmacokinetic monitoring ETA. Result(s): The dose-limiting toxicity (DLT) IMP group cramping/arthralgia syndrome () cumulative MTD  gm/m<sup></sup>. For nonIMP   DLTs peripheral neuropathy cramping-arthralgia syndrome. The MTD nonIMP   gm/m<sup></sup> nonIMP ,  gm/m<sup></sup>. Conclusion(s): The clinical efficacy radiation-related toxicity regimens evaluated. The doses ETA used accelerated fractionation external beam irradiation plus brachytherapy established."
279,248,248,Excluded,"Changes neocortical function response direct action optical radiation. The action optical radiation neocortical bioelectrical activity penicillin-induced epileptic focus investigated. The direct action ultraviolet (UV) radiation wavelengths , ,  nm shown increase amplitude spontaneous EEG potentiate epileptiform activity, whereas action subthreshold radiation wavelengths   nm caused reduction EEG amplitude inhibition epileptiform activity. On basis writers' data literature postulated mechanism action UV radiation neocortical electrical activity based changes permeability neuronal membranes Na K ions subsequent membrane depolarization, whereas action visible radiation leads thermal injury neurons irradiated zone, inducing irreversible suppression activity decrease amplitude EEG."
