,Unnamed: 0,titles,abstracts,decision,titleabstract
1617,1617,Dose-volumetric parameters predicting radiation-induced hepatic toxicity unresectable hepatocellular carcinoma patients treated three-dimensional conformal radiotherapy,"PURPOSE: To identify dose-volumetric parameters associated risk radiation-induced hepatic toxicity (RIHT) hepatocellular carcinoma patients treated three-dimensional conformal radiotherapy., METHODS AND MATERIALS: A total  hepatocellular carcinoma patients underwent three-dimensional conformal radiotherapy (total dose range, -. Gy; median, ). RIHT scored within  months completing three-dimensional conformal radiotherapy. The dose-volume parameters analyzed gross tumor volume; normal liver volume; total liver volume; radiation dose; mean dose normal liver; percentage normal liver volume receiving > =, > =, > =, > =, > = Gy; percentage total liver volume receiving > =, > =, > =, > =, > = Gy; normal tissue complication probability., RESULTS: Of  patients, Grade  RIHT observed  (.%), Grade   (.%), Grade   (.%), Grade   (.%) patient. No fatal Grade  RIHT developed. On multivariate analysis predicting Grade  worse RIHT, total liver volume receiving > = Gy significant parameter (p < .). Grade  worse RIHT observed  (.%)  patients total liver volume receiving  Gy % (p < .)., CONCLUSION: The total liver volume receiving > = Gy appears useful dose-volumetric parameter predicting risk RIHT. This volume limited < =% whenever possible minimize risk Grade  worse RIHT.",Excluded,"Dose-volumetric parameters predicting radiation-induced hepatic toxicity unresectable hepatocellular carcinoma patients treated three-dimensional conformal radiotherapy. PURPOSE: To identify dose-volumetric parameters associated risk radiation-induced hepatic toxicity (RIHT) hepatocellular carcinoma patients treated three-dimensional conformal radiotherapy., METHODS AND MATERIALS: A total  hepatocellular carcinoma patients underwent three-dimensional conformal radiotherapy (total dose range, -. Gy; median, ). RIHT scored within  months completing three-dimensional conformal radiotherapy. The dose-volume parameters analyzed gross tumor volume; normal liver volume; total liver volume; radiation dose; mean dose normal liver; percentage normal liver volume receiving > =, > =, > =, > =, > = Gy; percentage total liver volume receiving > =, > =, > =, > =, > = Gy; normal tissue complication probability., RESULTS: Of  patients, Grade  RIHT observed  (.%), Grade   (.%), Grade   (.%), Grade   (.%) patient. No fatal Grade  RIHT developed. On multivariate analysis predicting Grade  worse RIHT, total liver volume receiving > = Gy significant parameter (p < .). Grade  worse RIHT observed  (.%)  patients total liver volume receiving  Gy % (p < .)., CONCLUSION: The total liver volume receiving > = Gy appears useful dose-volumetric parameter predicting risk RIHT. This volume limited < =% whenever possible minimize risk Grade  worse RIHT."
1620,1620,Chromatic organization ganglion cell receptive fields peripheral retina,"This study addresses chromatic properties receptive fields subcortical visual pathway primates. There agreement that, central visual field, many cells belonging parvocellular (PC) division subcortical pathway show red-green opponent responses, subgroup cells belonging koniocellular (KC) pathway shows blue-yellow opponent responses, magnocellular (MC) pathway cells show weak signs chromatic input. However, chromatic properties ganglion cells peripheral retina poorly understood. Here, measured temporal-chromatic properties ganglion cells extracellular vivo recordings peripheral macaque retina. We show chromatic responsivity peripheral KC ([']blue-on[']) MC cells similar counterparts foveal retina. Cone-opponent responses expressed low temporal frequencies (< Hz) majority peripheral PC cells, peripheral PC cells show non-opponent response properties. With exceptions, chromatic properties ganglion cells essentially preserved throughout first  degrees visual eccentricity. The main change seen passing foveal peripheral retina ganglion cell classes become responsive high temporal-frequency modulation.",Excluded,"Chromatic organization ganglion cell receptive fields peripheral retina. This study addresses chromatic properties receptive fields subcortical visual pathway primates. There agreement that, central visual field, many cells belonging parvocellular (PC) division subcortical pathway show red-green opponent responses, subgroup cells belonging koniocellular (KC) pathway shows blue-yellow opponent responses, magnocellular (MC) pathway cells show weak signs chromatic input. However, chromatic properties ganglion cells peripheral retina poorly understood. Here, measured temporal-chromatic properties ganglion cells extracellular vivo recordings peripheral macaque retina. We show chromatic responsivity peripheral KC ([']blue-on[']) MC cells similar counterparts foveal retina. Cone-opponent responses expressed low temporal frequencies (< Hz) majority peripheral PC cells, peripheral PC cells show non-opponent response properties. With exceptions, chromatic properties ganglion cells essentially preserved throughout first  degrees visual eccentricity. The main change seen passing foveal peripheral retina ganglion cell classes become responsive high temporal-frequency modulation."
1623,1623,Radiation-induced coronary artery disease,"Excessive unprotected radiation heart appears lead development CAD, even absence significant cardiovascular risk factors. The coexistence factors may enhance probability CAD. The presence hypercholesterolemia concomitant sequential use chemotherapeutic agents (especially doxorubicin) could increase risk. Therapeutic decisions, manifestation CAD, relate extent myocardium jeopardy overall diffuseness CAD. Management options possible PTCA coronary artery bypass surgery. The latter may required left main artery stenosis complicated ostial lesions. Use shielding decrease associated risk radiation-induced CAD future years. However, clinicians continue high degree suspicion CAD patients treated thoracic radiation without cardiac shielding.",Excluded,"Radiation-induced coronary artery disease. Excessive unprotected radiation heart appears lead development CAD, even absence significant cardiovascular risk factors. The coexistence factors may enhance probability CAD. The presence hypercholesterolemia concomitant sequential use chemotherapeutic agents (especially doxorubicin) could increase risk. Therapeutic decisions, manifestation CAD, relate extent myocardium jeopardy overall diffuseness CAD. Management options possible PTCA coronary artery bypass surgery. The latter may required left main artery stenosis complicated ostial lesions. Use shielding decrease associated risk radiation-induced CAD future years. However, clinicians continue high degree suspicion CAD patients treated thoracic radiation without cardiac shielding."
1626,1626,EUS-guided portal pressure gradient measurement simple novel device: human pilot study,"Background Aims Portal hypertension (PH) serious adverse event liver cirrhosis. The hepatic venous pressure gradient portal pressure gradient (PPG) accurately reflects degree PH single best prognostic indicator liver disease. This usually obtained interventional radiology (IR), although routinely performed. Recently, developed simple novel technique EUS-guided PPG measurement (PPGM). Our animal studies showed excellent correlation EUS-PPGM IR-PPGM. We present first human pilot study EUS-PPGM patients liver disease. Methods EUS-PPGM performed experienced endosonographers using linear echoendoscope, -gauge fine-needle aspiration needle, novel compact manometer. The portal vein hepatic vein (or inferior vena cava) targeted using transgastric-transduodenal approach. Clinical parameters PH evaluated patient. Feasibility defined successful PPGM patient. Safety based adverse events captured postprocedural interview. Results Twenty-eight patients underwent EUS-PPGM % technical success adverse events. PPG ranged .  mm Hg excellent correlation clinical parameters portal hypertension including presence varices (P = .), PH gastropathy (P = .), thrombocytopenia (P = .). PPG increased patients high clinical evidence cirrhosis (P = .). Conclusion This novel technique EUS-PPGM using -gauge needle compact manometer feasible appears safe. Given availability EUS simplicity manometry setup, EUS-guided PPG may represent promising breakthrough procuring indispensable information management patients liver disease.Copyright © ",Excluded,"EUS-guided portal pressure gradient measurement simple novel device: human pilot study. Background Aims Portal hypertension (PH) serious adverse event liver cirrhosis. The hepatic venous pressure gradient portal pressure gradient (PPG) accurately reflects degree PH single best prognostic indicator liver disease. This usually obtained interventional radiology (IR), although routinely performed. Recently, developed simple novel technique EUS-guided PPG measurement (PPGM). Our animal studies showed excellent correlation EUS-PPGM IR-PPGM. We present first human pilot study EUS-PPGM patients liver disease. Methods EUS-PPGM performed experienced endosonographers using linear echoendoscope, -gauge fine-needle aspiration needle, novel compact manometer. The portal vein hepatic vein (or inferior vena cava) targeted using transgastric-transduodenal approach. Clinical parameters PH evaluated patient. Feasibility defined successful PPGM patient. Safety based adverse events captured postprocedural interview. Results Twenty-eight patients underwent EUS-PPGM % technical success adverse events. PPG ranged .  mm Hg excellent correlation clinical parameters portal hypertension including presence varices (P = .), PH gastropathy (P = .), thrombocytopenia (P = .). PPG increased patients high clinical evidence cirrhosis (P = .). Conclusion This novel technique EUS-PPGM using -gauge needle compact manometer feasible appears safe. Given availability EUS simplicity manometry setup, EUS-guided PPG may represent promising breakthrough procuring indispensable information management patients liver disease.Copyright © "
1629,1629,A Quantitative Assessment Pre-Operative MRI Reports Glioma Patients: Report Metrics IDH Prediction Ability,"Objectives: To measure metrics glioma pre-operative MRI reports build IDH prediction models. Method(s): Pre-operative MRI reports  glioma patients single institution collected retrospectively. Words transformed lowercase letters. White spaces, punctuations, stop words removed. Stemming performed. A word cloud method applied processed text matrix visualized language behavior. Spearman's rank correlation assessed correlation subjective descriptions enhancement pattern. The T-contrast images associated enhancement descriptions selected. The keywords associated IDH status evaluated chi value ranking. Random forest, k-nearest neighbors Support Vector Machine algorithms used train models based report features age. All statistical analysis used two-tailed test significance p <.. Result(s): Longer word counts occurred reports older patients, higher grade gliomas, wild type IDH gliomas. We identified  glioma enhancement descriptions, eight commonly used: peripheral, heterogeneous, irregular, nodular, thick, rim, large, ring. Five eight patterns correlated. IDH mutant tumors characterized words related normal, symmetric negative findings. IDH wild type tumors characterized words related pathological MR findings like enhancement, necrosis FLAIR foci. An integrated KNN model based report features age demonstrated high-performance (AUC: ., % CI: .-.). Conclusion(s): Report length depended age, glioma grade, IDH status. Description glioma enhancement varied. Report descriptions differed IDH wild mutant gliomas. Report features used predict glioma IDH status.© Copyright ©  Cao, Erson-Omay, Gunel, Moliterno Fulbright.",Excluded,"A Quantitative Assessment Pre-Operative MRI Reports Glioma Patients: Report Metrics IDH Prediction Ability. Objectives: To measure metrics glioma pre-operative MRI reports build IDH prediction models. Method(s): Pre-operative MRI reports  glioma patients single institution collected retrospectively. Words transformed lowercase letters. White spaces, punctuations, stop words removed. Stemming performed. A word cloud method applied processed text matrix visualized language behavior. Spearman's rank correlation assessed correlation subjective descriptions enhancement pattern. The T-contrast images associated enhancement descriptions selected. The keywords associated IDH status evaluated chi value ranking. Random forest, k-nearest neighbors Support Vector Machine algorithms used train models based report features age. All statistical analysis used two-tailed test significance p <.. Result(s): Longer word counts occurred reports older patients, higher grade gliomas, wild type IDH gliomas. We identified  glioma enhancement descriptions, eight commonly used: peripheral, heterogeneous, irregular, nodular, thick, rim, large, ring. Five eight patterns correlated. IDH mutant tumors characterized words related normal, symmetric negative findings. IDH wild type tumors characterized words related pathological MR findings like enhancement, necrosis FLAIR foci. An integrated KNN model based report features age demonstrated high-performance (AUC: ., % CI: .-.). Conclusion(s): Report length depended age, glioma grade, IDH status. Description glioma enhancement varied. Report descriptions differed IDH wild mutant gliomas. Report features used predict glioma IDH status.© Copyright ©  Cao, Erson-Omay, Gunel, Moliterno Fulbright."
1632,1632,Dynamic CT parathyroid adenoma detection: How radiation dose compare nuclear medicine?,"OBJECTIVE. Dynamic CT increasingly used preoperative localization parathyroid adenomas, concerns remain radiation effective dose CT compared ofmTc-sestamibi scintigraphy. The study compare radiation dose delivered three-phase dynamic CT delivered bymTc-sestamibi SPECT/CT performed accordance current protocols assess possible reduction effective dose achieved decreasing scan length (i.e., z-axis) two phases dynamic CT protocol. MATERIALS AND METHODS. The effective dose amTc-sestamibi nuclear medicine parathyroid study performed without coregistration CT calculated compared effective dose current three-phase dynamic CT protocol well proposed protocol involving CT reduced scan length. RESULTS. The median effective dose amTc-sestamibi nuclear medicine study . mSv. This increased . mSv addition coregistration CT, higher median effective dose . mSv associated dynamic CT protocol. Reducing scan length two phases dynamic CT protocol could reduce median effective dose . mSv, would similar dose themTc-sestamibi study alone. CONCLUSION. Dynamic CT used detection parathyroid adenoma deliver lower radiation dose thanmTc-sestamibi SPECT/CT. It may possible reduce dose decreasing scan length two phases, although whether impact accuracy localization needs investigation.Copyright © American Roentgen Ray Society.",Excluded,"Dynamic CT parathyroid adenoma detection: How radiation dose compare nuclear medicine?. OBJECTIVE. Dynamic CT increasingly used preoperative localization parathyroid adenomas, concerns remain radiation effective dose CT compared ofmTc-sestamibi scintigraphy. The study compare radiation dose delivered three-phase dynamic CT delivered bymTc-sestamibi SPECT/CT performed accordance current protocols assess possible reduction effective dose achieved decreasing scan length (i.e., z-axis) two phases dynamic CT protocol. MATERIALS AND METHODS. The effective dose amTc-sestamibi nuclear medicine parathyroid study performed without coregistration CT calculated compared effective dose current three-phase dynamic CT protocol well proposed protocol involving CT reduced scan length. RESULTS. The median effective dose amTc-sestamibi nuclear medicine study . mSv. This increased . mSv addition coregistration CT, higher median effective dose . mSv associated dynamic CT protocol. Reducing scan length two phases dynamic CT protocol could reduce median effective dose . mSv, would similar dose themTc-sestamibi study alone. CONCLUSION. Dynamic CT used detection parathyroid adenoma deliver lower radiation dose thanmTc-sestamibi SPECT/CT. It may possible reduce dose decreasing scan length two phases, although whether impact accuracy localization needs investigation.Copyright © American Roentgen Ray Society."
1635,1635,"The role age, sex steroid sex hormones radiation cataractogenesis","It critical identify gain better understanding factors enhance reduce risk cataractogenesis, minimize possibility occurrence deliberate (e.g., radiation therapy, interplanetary travel) unintentional exposure ionizing radiation. Both gender age time exposure established key determinants cataractogenesis induced sparsely ionizing (low-LET) densely ionizing (high-LET) radiation. However, animal data several older studies often conflicting somewhat difficult interpret, experiments suffered small group sizes, limited dose ranges short periods observation, human data sparse statistical significance sometimes limited. Steroid sex hormones (SSH) may underlie age gender-based differences progression prevalence cataracts otherwise occur spontaneously humans animal models, may also underlie age sex-related differences radiation cataractogenesis. Here, review data aided understanding role age, sex steroid sex hormones radiation cataractogenesis. ©  Radiation Research Society.",Excluded,"The role age, sex steroid sex hormones radiation cataractogenesis. It critical identify gain better understanding factors enhance reduce risk cataractogenesis, minimize possibility occurrence deliberate (e.g., radiation therapy, interplanetary travel) unintentional exposure ionizing radiation. Both gender age time exposure established key determinants cataractogenesis induced sparsely ionizing (low-LET) densely ionizing (high-LET) radiation. However, animal data several older studies often conflicting somewhat difficult interpret, experiments suffered small group sizes, limited dose ranges short periods observation, human data sparse statistical significance sometimes limited. Steroid sex hormones (SSH) may underlie age gender-based differences progression prevalence cataracts otherwise occur spontaneously humans animal models, may also underlie age sex-related differences radiation cataractogenesis. Here, review data aided understanding role age, sex steroid sex hormones radiation cataractogenesis. ©  Radiation Research Society."
1638,1638,[Principles NASA longitudinal medical studies],"This paper describes approaches longitudinal studies changes health status US astronauts. The include acquisition analysis biomedical data accumulated one repeated space missions, detection potential occupational diseases inflight evaluation mortality cases associated them. It suggested use pilots flight controllers controls. It indicated annual physical examinations important source relevant scientific information.",Excluded,"[Principles NASA longitudinal medical studies]. This paper describes approaches longitudinal studies changes health status US astronauts. The include acquisition analysis biomedical data accumulated one repeated space missions, detection potential occupational diseases inflight evaluation mortality cases associated them. It suggested use pilots flight controllers controls. It indicated annual physical examinations important source relevant scientific information."
1641,1641,Mortality among individuals exposed atomic bomb radiation utero: -,"We examined mortality risks among  individuals exposed utero atomic bomb radiation Hiroshima Nagasaki August  followed October  . Individual estimates mother's weighted absorbed uterine dose (DSR) used. Poisson regression method used estimate radiation-associated excess relative risk per Gy (ERR/Gy) % confidence intervals (CI) cause-specific mortality. Head size, birth weight, parents' survival status evaluated potential mediators radiation effect. There  deaths ( males  females) including deaths solid cancer (n = ), lymphohematopoietic cancer (n = ), noncancer disease (n = ), external cause (n = ), unknown cause (n = ). Among males, unadjusted ERR/Gy (% CI) increased noncancer disease mortality (., .-.), solid cancer mortality (- ., < - .-.); unadjusted ERR/Gy external cause mortality statistically significant (., < - .-.). Among females, unadjusted ERRs/Gy increased solid cancer (., .-.), noncancer (., .-.), external cause mortality (., .-.). The ERRs/Gy adjusted potential mediators change appreciably solid cancer mortality, decreased notably noncancer mortality (., < - .-. males; ., - .-. females) external cause mortality (., < - .-. males; ., < - .-. females). In conclusion, antenatal radiation exposure consistent risk factor increased solid cancer mortality among females, among males. The effect exposure atomic bomb radiation noncancer disease external cause mortality among individuals exposed utero mediated small head size, low birth weight, parental loss.Copyright © , The Author(s).",Excluded,"Mortality among individuals exposed atomic bomb radiation utero: -. We examined mortality risks among  individuals exposed utero atomic bomb radiation Hiroshima Nagasaki August  followed October  . Individual estimates mother's weighted absorbed uterine dose (DSR) used. Poisson regression method used estimate radiation-associated excess relative risk per Gy (ERR/Gy) % confidence intervals (CI) cause-specific mortality. Head size, birth weight, parents' survival status evaluated potential mediators radiation effect. There  deaths ( males  females) including deaths solid cancer (n = ), lymphohematopoietic cancer (n = ), noncancer disease (n = ), external cause (n = ), unknown cause (n = ). Among males, unadjusted ERR/Gy (% CI) increased noncancer disease mortality (., .-.), solid cancer mortality (- ., < - .-.); unadjusted ERR/Gy external cause mortality statistically significant (., < - .-.). Among females, unadjusted ERRs/Gy increased solid cancer (., .-.), noncancer (., .-.), external cause mortality (., .-.). The ERRs/Gy adjusted potential mediators change appreciably solid cancer mortality, decreased notably noncancer mortality (., < - .-. males; ., - .-. females) external cause mortality (., < - .-. males; ., < - .-. females). In conclusion, antenatal radiation exposure consistent risk factor increased solid cancer mortality among females, among males. The effect exposure atomic bomb radiation noncancer disease external cause mortality among individuals exposed utero mediated small head size, low birth weight, parental loss.Copyright © , The Author(s)."
1642,1642,Reduction Delayed Homologous Recombination Induction Radioadaptive Response RaDR-GFP Mice (Yonezawa Effect): An Old Player With New Role,"Radiotherapy (RT) treats cancer effectively high doses ionizing radiation (IR) killing cancer cells shrinking tumors bearing risk developing different side effects, including secondary cancer, concerning long-term health consequences. Genomic instability (GI) characteristic cancer cells, IR-induced GI manifest delayed homologous recombination (HR). Radioadaptive response (RAR) capable reducing genotoxicity, cell transformation, mutation, carcinogenesis, rational evidence describing contributions reduction radiation risk, particular, carcinogenesis, remains fragmented. In work, investigate impact RAR high-dose, IR-induced GI measured delayed HR, frequency recombinant cells comparatively studied RAR-inducible -uninducible conditions nucleated cells hematopoietic tissues (bone marrow spleen) using Rosa Direct Repeat-green fluorescent protein (RaDR-GFP) homozygote mice. Results demonstrated frequency recombinant cells significantly lower hematopoietic tissues RAR-inducible condition. These findings suggest reduction delayed HR may least part mechanisms underlying decreased carcinogenesis RAR, application RAR would contribute rigorous scientifically grounded system radiation protection RT.Copyright © The Author(s) .",Included,"Reduction Delayed Homologous Recombination Induction Radioadaptive Response RaDR-GFP Mice (Yonezawa Effect): An Old Player With New Role. Radiotherapy (RT) treats cancer effectively high doses ionizing radiation (IR) killing cancer cells shrinking tumors bearing risk developing different side effects, including secondary cancer, concerning long-term health consequences. Genomic instability (GI) characteristic cancer cells, IR-induced GI manifest delayed homologous recombination (HR). Radioadaptive response (RAR) capable reducing genotoxicity, cell transformation, mutation, carcinogenesis, rational evidence describing contributions reduction radiation risk, particular, carcinogenesis, remains fragmented. In work, investigate impact RAR high-dose, IR-induced GI measured delayed HR, frequency recombinant cells comparatively studied RAR-inducible -uninducible conditions nucleated cells hematopoietic tissues (bone marrow spleen) using Rosa Direct Repeat-green fluorescent protein (RaDR-GFP) homozygote mice. Results demonstrated frequency recombinant cells significantly lower hematopoietic tissues RAR-inducible condition. These findings suggest reduction delayed HR may least part mechanisms underlying decreased carcinogenesis RAR, application RAR would contribute rigorous scientifically grounded system radiation protection RT.Copyright © The Author(s) ."
1644,1644,Cyberknife treatment advanced terminal stage hepatocellular carcinoma,"AIM: To investigate safety efficacy Cyberknife treatment patients advanced terminal stage hepatocellular carcinoma (HCC)., METHODS: Patients HCC extrahepatic metastasis vascular bile duct invasion enrolled May  June . The Cyberknife used treat lesion. Treatment response scores based Response Evaluation Criteria Solid Tumors v.. The trends tumor markers, including alpha fetoprotein (AFP) proteins induced vitamin K absence II (PIVKA II) assessed. Prognostic factors tumor response tumor markers evaluated Fisher's exact test logistic regression model. Survival evaluated Kaplan-Meier method multivariate analysis performed using Cox proportional hazards model., RESULTS: Sixty-five patients  lesions enrolled. Based Barcelona Clinic Liver Cancer classification, patients either advanced terminal stage disease. The target lesions follows:  bone metastasis; , lung metastasis; , brain metastasis; , portal vein invasion; , hepatic vein invasion; , bile duct invasion;  lesion types. The response rate disease control rate % %, respectively. None clinical factors correlated significantly tumor response. Fiducial marker implantation associated better control AFP (HR = .; %CI: .-.; P = .) PIVKA II (HR = .; %CI: .-.; P = .). The median survival time  mo (%CI: - mo). Terminal stage disease (HR = .; %CI: .-., P < .) AFP  ng/mL (HR = .; %CI: .-., P = .) associated worse survival. A radiation dose higher  Gy (HR = .; %CI: .-., P = .) associated better survival. In  cases bone metastasis,  patients (%) achieved pain relief. One patient cerebral bleeding another patient esophageal ulcer treatment., CONCLUSION: The Cyberknife safely administered patients advanced terminal stage HCC. High AFP levels associated worse survival, higher radiation dose improved survival.",Excluded,"Cyberknife treatment advanced terminal stage hepatocellular carcinoma. AIM: To investigate safety efficacy Cyberknife treatment patients advanced terminal stage hepatocellular carcinoma (HCC)., METHODS: Patients HCC extrahepatic metastasis vascular bile duct invasion enrolled May  June . The Cyberknife used treat lesion. Treatment response scores based Response Evaluation Criteria Solid Tumors v.. The trends tumor markers, including alpha fetoprotein (AFP) proteins induced vitamin K absence II (PIVKA II) assessed. Prognostic factors tumor response tumor markers evaluated Fisher's exact test logistic regression model. Survival evaluated Kaplan-Meier method multivariate analysis performed using Cox proportional hazards model., RESULTS: Sixty-five patients  lesions enrolled. Based Barcelona Clinic Liver Cancer classification, patients either advanced terminal stage disease. The target lesions follows:  bone metastasis; , lung metastasis; , brain metastasis; , portal vein invasion; , hepatic vein invasion; , bile duct invasion;  lesion types. The response rate disease control rate % %, respectively. None clinical factors correlated significantly tumor response. Fiducial marker implantation associated better control AFP (HR = .; %CI: .-.; P = .) PIVKA II (HR = .; %CI: .-.; P = .). The median survival time  mo (%CI: - mo). Terminal stage disease (HR = .; %CI: .-., P < .) AFP  ng/mL (HR = .; %CI: .-., P = .) associated worse survival. A radiation dose higher  Gy (HR = .; %CI: .-., P = .) associated better survival. In  cases bone metastasis,  patients (%) achieved pain relief. One patient cerebral bleeding another patient esophageal ulcer treatment., CONCLUSION: The Cyberknife safely administered patients advanced terminal stage HCC. High AFP levels associated worse survival, higher radiation dose improved survival."
1647,1647,"The upper esophageal sphincter round: pilot study evaluating novel, physiology-based approach upper esophageal sphincter dilation","OBJECTIVES: Recent basic science investigations suggested upper esophageal sphincter (UES), cross section, round, closely approximates kidney shape. Dilation simultaneous use two cylindrical dilators provides novel, physiology-based approach UES distention. We evaluated initial safety efficacy UES dilation simultaneous use two controlled radial expansion balloon dilators., METHODS: Using computerized database, reviewed charts persons underwent UES dilation simultaneous use two radial expansion balloon dilators December , , March , . Information regarding patient demographics, indications, technique, complications abstracted. Self-reported swallowing impairment assessed validated -item Eating Assessment Tool (EAT-)., RESULTS: Ten individuals underwent simultaneous dilation two dilators. Their mean age  years (SD,  years),  (%) male. The indications dilation radiation-induced UES stenosis (%), cricopharyngeus muscle dysfunction (%), upper esophageal web (%), anastomotic stricture (%). After double-balloon dilation, complications reported. The mean EAT- score improved significantly, . (SD, .) . (SD, .), simultaneous dilation (p = .)., CONCLUSIONS: Pilot data suggest simultaneous dilation UES two controlled radial expansion balloon dilators feasible, safe, effective. Future investigation necessary confirm safety technique larger cohort use objective efficacy compare technique conventional dilation single dilator.",Excluded,"The upper esophageal sphincter round: pilot study evaluating novel, physiology-based approach upper esophageal sphincter dilation. OBJECTIVES: Recent basic science investigations suggested upper esophageal sphincter (UES), cross section, round, closely approximates kidney shape. Dilation simultaneous use two cylindrical dilators provides novel, physiology-based approach UES distention. We evaluated initial safety efficacy UES dilation simultaneous use two controlled radial expansion balloon dilators., METHODS: Using computerized database, reviewed charts persons underwent UES dilation simultaneous use two radial expansion balloon dilators December , , March , . Information regarding patient demographics, indications, technique, complications abstracted. Self-reported swallowing impairment assessed validated -item Eating Assessment Tool (EAT-)., RESULTS: Ten individuals underwent simultaneous dilation two dilators. Their mean age  years (SD,  years),  (%) male. The indications dilation radiation-induced UES stenosis (%), cricopharyngeus muscle dysfunction (%), upper esophageal web (%), anastomotic stricture (%). After double-balloon dilation, complications reported. The mean EAT- score improved significantly, . (SD, .) . (SD, .), simultaneous dilation (p = .)., CONCLUSIONS: Pilot data suggest simultaneous dilation UES two controlled radial expansion balloon dilators feasible, safe, effective. Future investigation necessary confirm safety technique larger cohort use objective efficacy compare technique conventional dilation single dilator."
1648,1648,"Protein expression nucleophosmin, annexin A nm-H correlates human nasopharyngeal carcinoma radioresistance vivo","Radioresistance significant obstacle treatment endemic nasopharyngeal carcinoma (NPC). The present study aimed identify proteins associated radioresistance NPC vitro vivo. Proteomics analyses conducted screen differentially-expressed proteins (DEPs) parental CNE- cells CNE-R cells. Using proteomics approaches,  DEPs identified. Of DEPs, nucleophosmin (NPM), annexin A nm-H, verified using western blot analyses. The tumorigenicity investigated using mouse xenograft tumorigenicity assays, tumor growth curves generated. The protein expression NPM, annexin A nm-H examined immunohistochemically staining tumor tissues. NPM annexin A protein levels downregulated CNE-R cells, whereas nm-H expression upregulated. In vivo tests showed compared CNE- tumors, CNE-R tumor growth significantly retarded (P<.). CNE- tumor progression inhibited irradiation, CNE-R tumor progression not, indicating CNE-R cells also radioresistant vivo. NPM annexin A expression significantly lower non-irradiated (NIR)-CNE-R tumors compared NIR-CNE- tumors (P<.). However, Nm-H protein levels significantly higher (P<.). Overall, present study established comparable radioresistant radiosensitive tumor models human NPC, identified candidate biomarkers may correlate radioresistance. The data showed dysregulation NPM, annexin A nm-H expression correlated cellular tumor radioresponse. These proteins involved regulation intracellular functions, including stress responses, cell proliferation DNA repair. However, clinical evaluations required.Copyright © , Spandidos Publications. All rights reserved.",Included,"Protein expression nucleophosmin, annexin A nm-H correlates human nasopharyngeal carcinoma radioresistance vivo. Radioresistance significant obstacle treatment endemic nasopharyngeal carcinoma (NPC). The present study aimed identify proteins associated radioresistance NPC vitro vivo. Proteomics analyses conducted screen differentially-expressed proteins (DEPs) parental CNE- cells CNE-R cells. Using proteomics approaches,  DEPs identified. Of DEPs, nucleophosmin (NPM), annexin A nm-H, verified using western blot analyses. The tumorigenicity investigated using mouse xenograft tumorigenicity assays, tumor growth curves generated. The protein expression NPM, annexin A nm-H examined immunohistochemically staining tumor tissues. NPM annexin A protein levels downregulated CNE-R cells, whereas nm-H expression upregulated. In vivo tests showed compared CNE- tumors, CNE-R tumor growth significantly retarded (P<.). CNE- tumor progression inhibited irradiation, CNE-R tumor progression not, indicating CNE-R cells also radioresistant vivo. NPM annexin A expression significantly lower non-irradiated (NIR)-CNE-R tumors compared NIR-CNE- tumors (P<.). However, Nm-H protein levels significantly higher (P<.). Overall, present study established comparable radioresistant radiosensitive tumor models human NPC, identified candidate biomarkers may correlate radioresistance. The data showed dysregulation NPM, annexin A nm-H expression correlated cellular tumor radioresponse. These proteins involved regulation intracellular functions, including stress responses, cell proliferation DNA repair. However, clinical evaluations required.Copyright © , Spandidos Publications. All rights reserved."
